,antecedents,consequents
0,gunsn'roses_welcometothejungle,gunsn'roses_sweetchildo'mine
1,marshmello_silence,nan
2,demilovato_sorrynotsorry,nan
3,khalid_youngdumb&broke,nan
4,postmalone_rockstar,nan
5,kendricklamar_dna.,kendricklamar_humble.
